,created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url
142,Fri Dec 15 04:07:00 +0000 2023,1735511753654747365,"@gibran_gen @gibran_tweet @prabowo Warga sangat banyak berharap bantu dari pemerintah agar dapat hidup lebih baik, makanya mas gibran tidak ada waktu untuk bersantai²",0,0,0,0,in,1724336990710386688,1735188988065935730,nandiny44,https://twitter.com/nandiny44/status/1735511753654747365
143,Fri Dec 15 04:06:59 +0000 2023,1735511746138497350,@PartaiSocmed @aniesbaswedan @prabowo Telo mid telo,0,0,0,0,in,862941041648783361,1735216864152981540,stiawan020217,https://twitter.com/stiawan020217/status/1735511746138497350
144,Fri Dec 15 04:06:56 +0000 2023,1735511735220723829,"Elektabilitas Kian Meningkat, AHY Optimis Prabowo-Gibran Bisa Menang di Pilpres 2024. aiq  PDemokrat AgusYudhoyono Demokrat Bareng AHY https://t.co/6RyHiwPEBn",0,0,0,0,in,560467737,1735511735220723829,APhontiP,https://twitter.com/APhontiP/status/1735511735220723829
145,Fri Dec 15 04:06:55 +0000 2023,1735511728979628106,Nusron Wahid Sesalkan Pernyataan Anies soal Prabowo Tak Tahan Oposisi: Itu Mengkerdilkan Rekonsiliasi. dekade08,0,0,0,0,in,1702630032961929216,1735511728979628106,amanda_ris279,https://twitter.com/amanda_ris279/status/1735511728979628106
146,Fri Dec 15 04:06:54 +0000 2023,1735511726135910470,terus nyeang @prabowo dgn isue ham memang kalo @ganjarpranowo jd president mau diapain prabowo ...mau berbuat apa ...president sudah silih berganti prabowo masih ada g diapa2in juga .lebaaay .,0,0,0,0,in,747681569494732800,1735511726135910470,lucky_hafner,https://twitter.com/lucky_hafner/status/1735511726135910470
147,Fri Dec 15 04:06:53 +0000 2023,1735511722558111972,"Bersama Prabowo dan Gibran, Indonesia Akan Lebih Maju.    #02UntukIndonesiaMaju  17Program PrioritasPraGibs https://t.co/klmmDzW8Pw",0,0,0,0,in,1684391238949298176,1735511722558111972,danurdaraa_,https://twitter.com/danurdaraa_/status/1735511722558111972
148,Fri Dec 15 04:06:52 +0000 2023,1735511716086354163,wkwk aku ancem keluarga aku kalo ga milih prabowo,0,0,0,0,in,1349686200773140483,1735511716086354163,bitterlowvve,https://twitter.com/bitterlowvve/status/1735511716086354163
149,Fri Dec 15 04:06:51 +0000 2023,1735511713251049877,@mimih6mei @abby6mei @abbynfam @bengkeldodo @alextham878 @gtobing2903 @yosephrosario_ @digifeeder @Raden_Wijaya008 @rojeoz @th_sitie 14 Feb nari mari kita buktikan bahwa pemilu ini sejuk dan damai bersama mengawal kemenangan Prabowo Gibran,0,0,0,0,in,1720143009889853440,1735239736862876068,Ratu_0509,https://twitter.com/Ratu_0509/status/1735511713251049877
150,Fri Dec 15 04:06:50 +0000 2023,1735511708557578526,@pintakars @NdrewsTjan @aniesbaswedan Tapi kecakapan dalam mengelola negara dan mengatasi masalah negara itu juga penting lho. Are you sure Prabowo - Gibran itu bisa?  Jangan cuma joget gemoy aja. Rakyat indo itu bukan rakyat TikTok. Dari 3 Paslon memang ada plus minusnya. Namanya juga politisi.,0,1,0,0,in,1532277472762679296,1734591582064754981,22harrieth,https://twitter.com/22harrieth/status/1735511708557578526
151,Fri Dec 15 04:06:50 +0000 2023,1735511708494602467,"@yuliaaanidiya_ Menhan Prabowo Subianto: Pengabdian dan pengorbanan prajurit tak berhenti, tetap ada selamanya! dekade08",0,0,0,0,in,1677240072821952514,1735471222564208968,YushintaWul,https://twitter.com/YushintaWul/status/1735511708494602467
152,Fri Dec 15 04:06:49 +0000 2023,1735511705021816923,AHY: Demokrat Siap Kawal Kemenangan Prabowo-Gibran di Pilpres 2024. ^o`  PDemokrat AgusYudhoyono Demokrat Bareng AHY https://t.co/IC71LH55gK,0,0,0,0,in,560467737,1735511705021816923,APhontiP,https://twitter.com/APhontiP/status/1735511705021816923
